GEOPOINT,GEOID,NAME,NAMELSAD,STUSAB
46.4641098796; -91.8994024936,55031,Douglas,Douglas County,WI
35.912880671; -77.5970588882,37065,Edgecombe,Edgecombe County,NC
36.931457433; -82.6262026867,51720,Norton,Norton city,VA
35.0093341427; -97.4442882363,40087,McClain,McClain County,OK
18.1281740486; -66.4728039205,72149,Villalba,Villalba Municipio,PR
33.4089633624; -82.6767617191,13301,Warren,Warren County,GA
48.2945125463; -105.016391302,30085,Roosevelt,Roosevelt County,MT
46.1932195454; -122.680974546,53015,Cowlitz,Cowlitz County,WA
36.1605336919; -80.6652439331,37197,Yadkin,Yadkin County,NC
38.7838065024; -97.6499306446,20169,Saline,Saline County,KS
41.8519557671; -88.0855946496,17043,DuPage,DuPage County,IL
40.5246661273; -97.5965014328,31059,Fillmore,Fillmore County,NE
52.680220089; -92.4880742871,2016,Aleutians West,Aleutians West Census Area,AK
37.2097032695; -88.3538137781,21139,Livingston,Livingston County,KY
39.8714520053; -77.2178797931,42001,Adams,Adams County,PA
40.1199573141; -111.670334914,49049,Utah,Utah County,UT
40.6343512879; -73.9502045905,36047,Kings,Kings County,NY
36.8355562279; -87.1791532892,21219,Todd,Todd County,KY
40.7541667046; -75.3075869515,42095,Northampton,Northampton County,PA
40.7684277475; -80.7771865597,39029,Columbiana,Columbiana County,OH
29.2102022904; -82.0566756823,12083,Marion,Marion County,FL
42.325322722; -87.6311845438,17097,Lake,Lake County,IL
39.3054413227; -102.602887422,8063,Kit Carson,Kit Carson County,CO
36.4549370868; -81.8517719844,47091,Johnson,Johnson County,TN
38.6678584122; -85.123590032,21041,Carroll,Carroll County,KY
35.1199026751; -84.5233230209,47139,Polk,Polk County,TN
48.7189972077; -101.657774141,38075,Renville,Renville County,ND
31.404399317; -100.462072838,48451,Tom Green,Tom Green County,TX
41.0297829981; -92.8689876816,19135,Monroe,Monroe County,IA
34.3915831664; -79.3788986183,45033,Dillon,Dillon County,SC
40.1764658834; -99.9122732442,31065,Furnas,Furnas County,NE
47.3567862566; -102.618205478,38025,Dunn,Dunn County,ND
41.9161186535; -85.0590443604,26023,Branch,Branch County,MI
38.6956276543; -84.3602721797,21191,Pendleton,Pendleton County,KY
35.1549608138; -86.0921752079,47051,Franklin,Franklin County,TN
30.8746728358; -84.2344263446,13131,Grady,Grady County,GA
40.0046824769; -120.838597596,6063,Plumas,Plumas County,CA
40.3307738015; -111.16818403,49051,Wasatch,Wasatch County,UT
